iter	Passed	Remaining
693	20604	9085
694	20630	9053
695	20729	9054
696	20764	9026
697	20790	8995
698	20816	8963
699	20843	8932
700	20867	8900
701	20891	8868
702	20917	8836
703	20941	8804
704	20966	8773
705	20991	8741
706	21015	8709
707	21041	8678
708	21069	8647
709	21095	8616
710	21122	8585
711	21149	8554
712	21175	8523
713	21202	8492
714	21226	8460
715	21252	8429
716	21278	8398
717	21303	8367
718	21327	8335
719	21353	8303
720	21376	8272
721	21401	8240
722	21426	8208
723	21452	8177
724	21477	8146
725	21503	8115
726	21528	8084
727	21552	8052
728	21577	8021
729	21602	7989
730	21626	7958
731	21666	7932
732	21691	7901
733	21717	7870
734	21743	7839
735	21768	7808
736	21792	7776
737	21817	7745
738	21841	7713
739	21866	7682
740	21890	7651
741	21915	7620
742	21940	7588
743	21964	7557
744	21989	7526
745	22013	7495
746	22037	7463
747	22062	7432
748	22089	7402
749	22117	7372
750	22146	7342
751	22174	7312
752	22204	7283
753	22234	7254
754	22265	7225
755	22302	7198
756	22432	7201
757	22481	7177
758	22513	7148
759	22545	7119
760	22576	7090
761	22604	7060
762	22631	7029
763	22658	6999
764	22683	6968
765	22710	6937
766	22738	6907
767	22770	6878
768	22803	6849
769	22839	6822
770	22873	6793
771	22902	6763
772	22928	6733
773	22953	6702
774	22979	6671
775	23004	6640
776	23030	6609
777	23057	6579
778	23083	6548
779	23110	6518
780	23135	6487
781	23161	6456
782	23189	6426
783	23215	6396
784	23242	6365
785	23268	6335
786	23296	6305
787	23325	6275
788	23351	6244
789	23377	6214
790	23402	6183
791	23428	6153
792	23455	6122
793	23480	6091
794	23505	6061
795	23532	6030
796	23559	6000
797	23585	5970
798	23610	5939
799	23639	5909
800	23670	5880
801	23696	5850
802	23724	5820
803	23751	5790
804	23777	5759
805	23807	5730
806	23833	5699
807	23860	5669
808	23886	5639
809	23914	5609
810	23939	5579
811	23966	5548
812	23991	5518
813	24017	5488
814	24041	5457
815	24067	5427
816	24092	5396
817	24117	5365
818	24142	5335
819	24167	5305
820	24192	5274
821	24216	5244
822	24241	5213
823	24266	5183
824	24291	5152
825	24317	5122
826	24342	5092
827	24368	5061
828	24397	5032
829	24422	5002
830	24448	4972
831	24473	4941
832	24500	4911
833	24530	4882
834	24556	4852
835	24581	4822
836	24604	4791
837	24630	4761
838	24654	4731
839	24683	4701
840	24713	4672
841	24738	4642
842	24764	4612
843	24789	4581
844	24815	4551
845	24840	4521
846	24868	4492
847	24893	4462
848	24918	4431
849	24944	4402
850	24969	4371
851	24995	4342
852	25020	4311
853	25045	4281
854	25069	4251
855	25095	4221
856	25119	4191
857	25145	4161
858	25170	4131
859	25196	4101
860	25221	4071
861	25260	4043
862	25285	4013
863	25310	3984
864	25336	3954
865	25362	3924
866	25387	3894
867	25412	3864
868	25436	3834
869	25462	3804
870	25487	3774
871	25512	3744
872	25544	3716
873	25569	3686
874	25595	3656
875	25620	3626
876	25647	3597
877	25673	3567
878	25700	3537
879	25729	3508
880	25754	3478
881	25780	3449
882	25806	3419
883	25831	3389
884	25856	3359
885	25881	3330
886	25905	3300
887	25930	3270
888	25956	3240
889	25981	3211
890	26007	3181
891	26031	3151
892	26072	3124
893	26098	3094
894	26123	3064
895	26147	3034
896	26171	3005
897	26196	2975
898	26221	2945
899	26246	2916
900	26271	2886
901	26295	2856
902	26320	2827
903	26344	2797
904	26369	2768
905	26393	2738
906	26420	2709
907	26445	2679
908	26470	2649
909	26494	2620
910	26518	2590
911	26544	2561
912	26570	2531
913	26594	2502
914	26619	2472
915	26644	2443
916	26669	2413
917	26694	2384
918	26720	2355
919	26745	2325
920	26769	2296
921	26794	2266
922	26819	2237
923	26845	2208
924	26869	2178
925	26894	2149
926	26918	2119
927	26942	2090
928	26980	2062
929	27005	2032
930	27031	2003
931	27058	1974
932	27084	1944
933	27110	1915
934	27135	1886
935	27161	1857
936	27186	1827
937	27211	1798
938	27237	1769
939	27261	1740
940	27288	1710
941	27314	1681
942	27338	1652
943	27364	1623
944	27388	1594
945	27415	1564
946	27441	1535
947	27465	1506
948	27490	1477
949	27516	1448
950	27543	1419
951	27568	1390
952	27594	1360
953	27620	1331
954	27645	1302
955	27682	1274
956	27707	1244
957	27735	1215
958	27760	1186
959	27784	1157
960	27809	1128
961	27834	1099
962	27859	1070
963	27884	1041
964	27910	1012
965	27935	983
966	27961	954
967	27985	925
968	28010	896
969	28035	867
970	28060	838
971	28085	809
972	28109	780
973	28135	751
974	28160	722
975	28185	693
976	28210	664
977	28235	635
978	28260	606
979	28284	577
980	28309	548
981	28335	519
982	28360	490
983	28385	461
984	28410	432
985	28434	403
986	28461	374
987	28487	345
988	28512	317
989	28540	288
990	28568	259
991	28593	230
992	28619	201
993	28644	172
994	28669	144
995	28693	115
996	28721	86
997	28745	57
998	28769	28
999	28793	0
